filename,fold,regions,hmean,precision,recall,gt_regions,det_num_char_gt,det_num_char_det,det_gran_score_recall,det_num_char_tp_recall,det_gran_score_precision,det_num_char_tp_precision,det_num_char_fp,num_splitted,num_merged,num_char_overlapped,original_split,stratum,gt_region_bin,small_text_bin,small_text_lt8_ratio,small_text_lt12_ratio,short_side_1024_median,aspect_long_short,brightness,contrast,blur_laplacian
drp.en_ko.in_house.selectstar_003794.jpg,2,111,0.987894892692566,0.9858585596084596,0.9899396300315856,115,497.0,495.0,1.0,493.0,5.0,493.0,2.0,1.0,1.0,0.0,train,train_w2_s0,2,0,0.02608695652,0.06086956522,21.10485382,1.0,0.7097500072,0.1277864409,1145.534464
drp.en_ko.in_house.selectstar_003795.jpg,0,95,0.9734880924224854,0.9684873819351196,0.9785407781600952,89,466.0,476.0,10.0,466.0,5.0,466.0,2.0,8.0,2.0,8.0,val,val_w1_s0,1,0,0.05617977528,0.1123595506,15.79093018,1.333333333,0.4342269598,0.2523899462,1382.415466
drp.en_ko.in_house.selectstar_003797.jpg,1,90,0.9753609299659728,0.96875,0.9820627570152284,92,446.0,448.0,2.0,440.0,6.0,440.0,6.0,2.0,3.0,2.0,train,train_w1_s0,1,0,0.03260869565,0.04347826087,16.1749733,1.333333333,0.4495126163,0.3130885649,1055.683248
drp.en_ko.in_house.selectstar_003799.jpg,2,70,0.9537037014961244,0.9196428656578064,0.9903846383094788,67,312.0,336.0,3.0,312.0,3.0,312.0,23.0,3.0,3.0,1.0,train,train_w0_s0,0,0,0.0,0.1044776119,18.80963287,1.333333333,0.5089153016,0.2834490406,1908.440397
drp.en_ko.in_house.selectstar_003800.jpg,0,117,0.992681324481964,0.9854689836502076,1.0,123,753.0,757.0,0.0,753.0,7.0,753.0,4.0,0.0,6.0,0.0,train,train_w3_s0,3,0,0.07317073171,0.08943089431,17.01601563,1.333333333,0.5734367819,0.1795244758,2297.598313
drp.en_ko.in_house.selectstar_003801.jpg,4,117,0.9533915519714355,0.962601602077484,0.9443561434745787,118,629.0,615.0,10.0,604.0,12.0,604.0,2.0,7.0,8.0,9.0,val,val_w2_s1,2,1,0.09322033898,0.3644067797,13.97641296,1.777777778,0.5737286071,0.06480826768,755.6975227
drp.en_ko.in_house.selectstar_003802.jpg,2,118,0.9921900033950806,0.996098816394806,0.9883117079734802,113,770.0,769.0,5.0,766.0,0.0,766.0,0.0,4.0,0.0,3.0,train,train_w2_s1,2,1,0.1238938053,0.1592920354,15.91248016,1.0,0.5601463767,0.1529532869,1039.875308
drp.en_ko.in_house.selectstar_003803.jpg,3,144,0.9810358285903932,0.9878048896789552,0.9743589758872986,151,585.0,574.0,3.0,573.0,6.0,573.0,0.0,3.0,5.0,1.0,train,train_w4_s0,4,0,0.02649006623,0.09933774834,15.10400391,2.028526149,0.5997199791,0.2828850599,1692.82289
drp.en_ko.in_house.selectstar_003804.jpg,3,117,0.908945381641388,0.962601602077484,0.8609550595283508,160,712.0,615.0,1.0,614.0,22.0,614.0,0.0,1.0,6.0,1.0,train,train_w4_s1,4,1,0.075,0.4125,13.85600433,1.333333333,0.457028298,0.09734406022,455.0682409
drp.en_ko.in_house.selectstar_003805.jpg,0,110,0.818148136138916,0.8656126260757446,0.7756183743476868,112,566.0,506.0,1.0,440.0,2.0,440.0,66.0,1.0,2.0,0.0,train,train_w2_s1,2,1,0.1160714286,0.1517857143,17.71999512,1.333333333,0.6751963098,0.08613952976,1167.574326
