filename,hmean,precision,recall,gt_regions,pred_regions
drp.en_ko.in_house.selectstar_003135.jpg,0.9692997336387634,0.9450171589851379,0.9948630332946777,164,133
drp.en_ko.in_house.selectstar_003442.jpg,0.9698110818862915,0.9770992398262024,0.9626308083534241,97,93
drp.en_ko.in_house.selectstar_002872.jpg,0.9701127409934998,0.9668434858322144,0.9734042286872864,142,139
drp.en_ko.in_house.selectstar_003983.jpg,0.9707454442977905,0.9808153510093689,0.9608802199363708,60,77
drp.en_ko.in_house.selectstar_003639.jpg,0.9708247780799866,0.9955947399139404,0.947257399559021,113,114
drp.en_ko.in_house.selectstar_002168.jpg,0.9710590839385986,0.9527559280395508,0.9900793433189392,115,102
drp.en_ko.in_house.selectstar_003133.jpg,0.971872091293335,0.9900744557380676,0.9543269276618958,101,103
drp.en_ko.in_house.selectstar_001975.jpg,0.9719078540802002,0.995184600353241,0.9496951103210449,111,105
drp.en_ko.in_house.selectstar_002877.jpg,0.9719887375831604,0.9841688871383667,0.960106372833252,82,97
drp.en_ko.in_house.selectstar_003326.jpg,0.9721854329109192,1.0,0.9458763003349304,69,70
drp.en_ko.in_house.selectstar_003120.jpg,0.9724864363670349,0.9828392863273621,0.9623494148254395,158,147
drp.en_ko.in_house.selectstar_003592.jpg,0.9726096391677856,0.9634146094322205,0.9819819927215576,70,58
drp.en_ko.in_house.selectstar_000608.jpg,0.9727463126182556,0.9576923251152039,0.98828125,102,91
drp.en_ko.in_house.selectstar_002313.jpg,0.9728760719299316,0.9777777791023254,0.9680232405662537,144,140
drp.en_ko.in_house.selectstar_000373.jpg,0.9729423522949219,0.9636650681495667,0.9824000000953674,112,109
drp.en_ko.in_house.selectstar_002596.jpg,0.9731070399284363,0.9528571367263794,0.9942362904548645,174,151
drp.en_ko.in_house.selectstar_002592.jpg,0.9737160205841064,0.9884225726127625,0.9594405889511108,140,124
drp.en_ko.in_house.selectstar_000623.jpg,0.9738199710845947,0.9752941131591797,0.9723502397537231,138,122
drp.en_ko.in_house.selectstar_001470.jpg,0.9739627838134766,0.9712643623352051,0.9766764044761658,98,104
drp.en_ko.in_house.selectstar_003068.jpg,0.9740259051322937,0.97947758436203,0.9686346650123596,118,119
drp.en_ko.in_house.selectstar_002800.jpg,0.9742656350135803,0.9567809104919434,0.9924012422561646,158,150
drp.en_ko.in_house.selectstar_001164.jpg,0.9748531579971313,0.9975550174713135,0.9531615972518921,113,111
drp.en_ko.in_house.selectstar_001272.jpg,0.9749916195869446,0.9911816716194153,0.9593220353126526,109,105
drp.en_ko.in_house.selectstar_000862.jpg,0.9751520752906799,0.9764705896377563,0.9738371968269348,96,92
drp.en_ko.in_house.selectstar_003741.jpg,0.9752621650695801,0.9665071964263916,0.9841772317886353,139,120
drp.en_ko.in_house.selectstar_001222.jpg,0.9752830266952515,0.9786096215248108,0.9719789624214172,91,83
drp.en_ko.in_house.selectstar_001587.jpg,0.9756818413734436,0.9793814420700073,0.9720101952552795,106,103
drp.en_ko.in_house.selectstar_000606.jpg,0.9761244654655457,0.9795454740524292,0.9727272987365723,106,110
drp.en_ko.in_house.selectstar_001168.jpg,0.9763342142105103,0.9644588232040405,0.9885057210922241,109,104
drp.en_ko.in_house.selectstar_003363.jpg,0.9765720963478088,0.997481107711792,0.95652174949646,72,72
drp.en_ko.in_house.selectstar_001930.jpg,0.9766154885292053,0.9836333990097046,0.9696969985961914,141,131
drp.en_ko.in_house.selectstar_001927.jpg,0.9767330288887024,0.9632183909416199,0.9906322956085205,98,94
drp.en_ko.in_house.selectstar_001947.jpg,0.9769251346588135,0.9930192232131958,0.9613445401191711,119,116
drp.en_ko.in_house.selectstar_003097.jpg,0.9769349098205566,0.9579287767410278,0.9967105388641357,61,56
drp.en_ko.in_house.selectstar_002308.jpg,0.9770161509513855,0.9830247163772583,0.9710806608200073,102,103
drp.en_ko.in_house.selectstar_003901.jpg,0.9770354628562927,0.9894291758537292,0.9649484753608704,110,110
drp.en_ko.in_house.selectstar_000792.jpg,0.9773156642913818,0.9923224449157715,0.9627560377120972,93,94
