filename,fold,regions,hmean,precision,recall,gt_regions,det_num_char_gt,det_num_char_det,det_gran_score_recall,det_num_char_tp_recall,det_gran_score_precision,det_num_char_tp_precision,det_num_char_fp,num_splitted,num_merged,num_char_overlapped
drp.en_ko.in_house.selectstar_002549.jpg,1,102,0.9321266412734985,1.0,0.8728813529014587,105,472.0,412.0,0.0,412.0,0.0,412.0,0.0,0.0,0.0,0.0
drp.en_ko.in_house.selectstar_002554.jpg,1,160,0.8931989669799805,0.886723518371582,0.8997696042060852,216,868.0,821.0,2.0,783.0,55.0,783.0,37.0,2.0,26.0,1.0
drp.en_ko.in_house.selectstar_002563.jpg,1,125,0.9816303253173828,0.9688041806221008,0.9948006868362427,139,577.0,577.0,1.0,575.0,16.0,575.0,1.0,1.0,10.0,1.0
drp.en_ko.in_house.selectstar_002574.jpg,1,118,0.9674861431121826,0.9606741666793823,0.9743954539299011,119,703.0,712.0,18.0,703.0,19.0,703.0,0.0,11.0,10.0,9.0
drp.en_ko.in_house.selectstar_002577.jpg,1,150,0.9836893677711487,0.9738154411315918,0.9937655925750732,167,802.0,802.0,3.0,800.0,19.0,800.0,0.0,3.0,13.0,2.0
drp.en_ko.in_house.selectstar_002582.jpg,1,114,0.9765779972076416,0.9695340394973755,0.9837251305580139,117,553.0,558.0,9.0,553.0,12.0,553.0,0.0,7.0,6.0,5.0
drp.en_ko.in_house.selectstar_002586.jpg,1,128,0.9757377505302429,0.9841772317886353,0.9674418568611145,130,645.0,632.0,1.0,625.0,3.0,625.0,7.0,1.0,3.0,0.0
drp.en_ko.in_house.selectstar_002587.jpg,1,73,0.9851654171943665,0.9837398529052734,0.9865951538085938,79,373.0,369.0,1.0,369.0,6.0,369.0,0.0,1.0,3.0,0.0
drp.en_ko.in_house.selectstar_002590.jpg,1,101,0.9649760127067566,0.9730290174484253,0.9570552110671997,101,489.0,482.0,2.0,470.0,1.0,470.0,0.0,2.0,1.0,12.0
drp.en_ko.in_house.selectstar_002594.jpg,1,73,0.9596698880195618,0.9773869514465332,0.9425837397575378,81,418.0,398.0,2.0,396.0,7.0,396.0,0.0,1.0,6.0,2.0
drp.en_ko.in_house.selectstar_002612.jpg,1,148,0.9710920453071594,0.9552071690559387,0.9875141978263855,164,881.0,893.0,9.0,879.0,26.0,879.0,3.0,7.0,16.0,11.0
drp.en_ko.in_house.selectstar_002620.jpg,1,89,0.9921385049819946,0.9865771532058716,0.9977628588676453,93,447.0,447.0,0.0,446.0,5.0,446.0,1.0,0.0,4.0,0.0
drp.en_ko.in_house.selectstar_002628.jpg,1,117,0.9341217875480652,0.9270976781845093,0.9412532448768616,165,766.0,727.0,2.0,723.0,49.0,723.0,2.0,2.0,33.0,2.0
drp.en_ko.in_house.selectstar_002629.jpg,1,74,0.9919182062149048,0.9884792566299438,0.9953810572624207,76,433.0,434.0,2.0,433.0,4.0,433.0,0.0,2.0,3.0,1.0
